agency,agency_id,amended,amendment_changed_fields,amendment_no,amendment_no_printed,app_id,budget_type,category,city,closing_date,country,development_partner,district,district_original,document_price_original,document_price_taka,eligibility_amended,eligibility_categories,eligibility_chars,eligibility_clauses,eligibility_numbering,eligibility_page,eligibility_published,eligibility_source_field,eligibility_substantive,evaluation_type,event_type,invitation_for,invitation_ref,inviting_officer,inviting_officer_designation,inviting_officer_id,last_selling_date,lots,method,ministry,ministry_id,notice_file,notice_pages,opening_date,package_description,package_no,payment_mode,phone,premeeting_end,premeeting_start,procurement_nature,procurement_type,procuring_entity,procuring_entity_code,procuring_entity_id,project,project_code,project_id,published_date,security_last_date,security_valid_until,source_of_funds,status,status_original,tender_id,tender_valid_until,thana,advertised_date,award_agency,award_agency_id,award_development_partner,award_district,award_file,award_for,award_invitation_ref,award_method,award_ministry,award_ministry_id,award_officer,award_officer_designation,award_officer_id,award_package_name,award_package_no,award_pages,award_procuring_entity,award_procuring_entity_code,award_procuring_entity_id,award_project,award_project_id,award_source_of_funds,award_template,beneficial_owners,bid_counts_printed,contract_description,contract_no,contract_signed_on_time,contract_value_original,contract_value_taka,noa_date,performance_security_on_time,signed_date,tenders_received,tenders_responsive,tenders_sold,winner,winner_id,winner_location,winner_page,winner_tenderer_id,work_completion_date,work_location,work_start_date,notice_document_found,award_document_found,outcome_source
Chittagong Development Authority,og0009,no,,,,208818,Development,"Site preparation work; Construction work; Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork; Construction work for water projects; Works for complete or part construction and civil engineering work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work",Chittagong,2025-01-29,Bangladesh,,Chattogram,Chattogram,4000,4000,no,experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;price_band,1161,7,n.,1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,CD2/CP1/E-4/24-25,Md. Shamim,Executive Engineer,pp0121,2025-01-28,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1036609.pdf,2,2025-01-29,"Site preparation work; Construction work; Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork; Construction work for water projects; Works for complete or part construction and civil engineering work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work",CD2/CP-1/E-4,Payment through Bank,031-619956,2025-01-09,2025-01-01,Works,NCT,Construction Division-2,2003,og0084,Widening and Development of Important Roads of Chattogram City Cluster Project- 1,13201-01-22430089700,pr0088,2025-01-01,2025-01-28,2025-05-27,Government,,,1036609,2025-04-29,Chattogram City Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Chittagong Development Authority,og0009,no,,,,209370,Own Fund,"Paper stationery and other items; Paper or paperboard articles; Paper or paperboard registers; Albums for samples; Paper or paperboard registers, account books, binders, forms and other articles of printed stationery; Publishing services; Bookbinding and finishing services;",Chittagong,2025-01-07,Bangladesh,,Chattogram,Chattogram,1000,1000,no,cert_other;cert_trade_licence;cert_vat;financial_credit;financial_liquid;financial_turnover,852,3,(n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,PO/79/tender-3,RABINDRA CHAKMA,Secretary,pp0124,2025-01-07,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1044421.pdf,2,2025-01-07,Supply of Stationary items at CDA,PO/79/Part-3-1,Payment through Bank,031-620988,2024-12-30,2024-12-24,Goods,NCT,Office of the Secretary,,og0086,Not applicable,Not applicable,pr0093,2024-12-24,2025-01-07,2025-05-05,Own Fund,,,1044421,2025-04-07,kotowali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Chittagong Development Authority,og0009,no,,,,209470,Own Fund,"Photocopying and printing equipment; Office machinery, equipment and supplies except computers; Computer hardware; Computer systems; Computer equipment and supplies; Computer-related services;Computer-related management services;Computer support and consultancy services;Computer network services;Computer upgrade services;Computer audit services;Computer testing services;Computer back-up services;Computer catalogue conversion services;Computer-related professional services",Chittagong,2024-12-30,Bangladesh,,Chattogram,Chattogram,1000,1000,no,cert_bin;cert_other;cert_tin;cert_trade_licence;cert_vat;equipment;experience_general;financial_credit;financial_liquid;financial_turnover;other,933,3,(n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,MIS/P/2024/26/P-24-01,Md Mostafa Jamal,System Analyst,pp0069,2024-12-29,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1048608.pdf,2,2024-12-30,Supply of Computer and Computer Accessories at CDA.,MIS/P/2024/26/P-24-01,Payment through Bank,031-625562,2024-12-19,2024-12-12,Goods,NCT,Management Information System (MIS),,og0038,Not applicable,Not applicable,pr0093,2024-12-12,2024-12-29,2025-04-27,Own Fund,,,1048608,2025-03-30,Chattogram City Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Chittagong Development Authority,og0009,no,,,,204772,Own Fund,"Furniture; Manufactured goods, furniture, handicrafts, special-purpose products and associated consumables; Seats, chairs and associated parts; Non-domestic furniture; Domestic furniture; Miscellaneous furniture and equipment; School furniture;",Chittagong,2025-06-19,Bangladesh,,Chattogram,Chattogram,1000,1000,no,cert_other;cert_vat;experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other,1265,9,n.,1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,PD/CM Banglow/E-113/259,A. H. M. Mesbah Uddin,Project Director,pp0024,2025-06-18,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1049598.pdf,2,2025-06-19,"Supply Furniture Materials for CDA Chairman Banglow at CDA Hill, Chattogram.",PD/CM Banglow/E-113,Payment through Bank,031-624401,2025-06-15,2025-05-28,Goods,NCT,"Project Director(M.Uddin), Chittagong Development Authority",,og0031,Not applicable,Not applicable,pr0093,2025-05-28,2025-06-19,2025-10-15,Own Fund,,,1049598,2025-09-17,Chattogram City Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Chittagong Development Authority,og0009,no,,,,209370,Own Fund,Cloth; Textile fabrics and related items; Coats; Retail trade services of office items; Retail trade services;,Chittagong,2025-01-07,Bangladesh,,Chattogram,Chattogram,1000,1000,no,cert_other;cert_trade_licence;cert_vat;financial_credit;financial_liquid;financial_turnover,852,3,(n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,25.47.1500.017.07.008.24,RABINDRA CHAKMA,Secretary,pp0124,2025-01-07,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1054573.pdf,2,2025-01-07,Supply of staff winter dress at CDA,PO/79/Part-3-2,Payment through Bank,031-620988,2024-12-30,2024-12-24,Goods,NCT,Office of the Secretary,,og0086,Not applicable,Not applicable,pr0093,2024-12-24,2025-01-07,2025-06-04,Own Fund,,,1054573,2025-05-07,Sitakunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Chittagong Development Authority,og0009,no,,,,55532,Development,"Electricity; Electricity, gas, nuclear energy and fuels, steam, hot water and other sources of energy;",Chittagong,2017-07-20,Bangladesh,,Chittagong,Chittagong,4000,4000,no,cert_licence_class;cert_other;cert_tin;cert_trade_licence;cert_vat;experience_similar;financial_credit;other,498,3,(a),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,pd/mflyover/e-5797/t-01,Md. Mahfuzur Rahman,Executive Engineer,pp0017,2017-07-19,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_108836.pdf,2,2017-07-20,"Removal of existing 33/11/.4 KV electric pole, sub-station and road crossing line from alignment and re-installation work by alternative method under construction of Muradpur 2 no. Gate and GEC Junction Flyover 2 no. gate to Lalkhan bazaar and 2 no. gate to Baby Super Market",e-TENDER mflyover-01,Payment through Bank,031-632113,2017-07-12,2017-06-21,Works,NCT,Project Director (Muradpur Flyover),,og0024,"Construction of Flyover at Muradpur, 2 No. Gate, GEC Junction",E-5797,pr0022,2017-06-21,2017-07-20,2017-10-16,Government,Contract Awarded,Contract Awarded,108836,2017-09-18,Kotowali,2017-06-21,Chittagong Development Authority,og0009,NA,Chittagong,Contract_Awards_PDFs/Tender_108836.pdf,Works,pd/mflyover/e-5797/t-01,OTM,Ministry of Housing and Public Works,og0001,Md. Mahfuzur Rahman,Executive Engineer,pp0017,Removal of existing 33/11/.4 KV electric pole sub-station and road crossing line from alignment and re-installation work by alternative method under construction of Muradpur 2 no. Gate and GEC Junction Flyover 2 no. gate to Lalkhan bazaar and 2 no. gate to Baby Super Market,e-TENDER mflyover-01,1,Project Director (Muradpur Flyover),,og0024,"Construction of Flyover at Muradpur, 2 No. Gate, GEC Junction",pr0022,Development Government,supplier,0,yes,"Removal of existing 33/11/.4 KV electric pole, sub-station and road crossing line from alignment and re-installation work by alternative method under construction of Muradpur, 2 no. Gate and GEC Junction Flyover (2 no. gate to Lalkhan bazaar and 2 no. gate to Baby Super Market)",pd/mflyover/e-5797/noa-938,yes,35818234.168,35818234.168,2017-08-23,yes,2017-09-18,2,2,2,TD Trading,co0058,"233/450 Ramna Market, Electrict Lane, Hotel Unique, Reazuddin Bazar, Chittagong",1,,2018-02-15,gate no 2 to Lalkhan bazaar and 2 no gate to Baby Super Market,2017-08-16,yes,yes,award notice
Chittagong Development Authority,og0009,no,,,,45876,Own Fund,"Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",Chittagong,2017-07-19,Bangladesh,,Chittagong,Chittagong,4000,4000,no,cert_other;experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;subcontract,1387,4,(a),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,cd-1/e-saltgola/1458,A. A. M. Habibur Rahman,Project Director,pp0020,2017-07-18,0,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_110297.pdf,2,2017-07-19,"Construction of Cast in situ pile, Mat foundation, two nos of under ground basement, super structure, installation of lift, installation of escalator, installation of substation, installation of generator, deep tube well, sanitary and plumbing work, Internal electrification works etc.",e-TENDER CD1/e-saltgola/1458,Payment through Bank,031-638303,2017-07-13,2017-07-04,Works,NCT,Project Director (Saltgola),,og0026,"Construction of Dormitory for Working Women and Commercial Building at Salttgola, Chittagong",N/A,pr0024,2017-07-04,2017-07-19,2017-11-14,Own fund,Contract Awarded,Contract Awarded,110297,2017-10-17,Kotowali,2017-07-04,Chittagong Development Authority,og0009,NA,Chittagong,Contract_Awards_PDFs/Tender_110297.pdf,Works,cd-1/e-saltgola/1458,OTM,Ministry of Housing and Public Works,og0001,A. A. M. Habibur Rahman,Project Director,pp0020,Construction of 6 Storied Building with 2 basement including 20 storied Foundation integrated civil works like casting situ pile mat foundation sub-structure work super structure work sanitary and plumbing work internal electrical work installation of deep tube well lift escalator electrical sub-station standby generator etc.,e-TENDER CD1/e-saltgola/1458,1,Project Director (Saltgola),,og0026,"Construction of Dormitory for Working Women and Commercial Building at Salttgola, Chittagong",pr0024,Own Fund Own fund,supplier,0,yes,"Construction of 6 Storied Building with 2 basement including 20 storied Foundation integrated civil works like casting situ pile, mat foundation, sub-structure work, super structure work, sanitary and plumbing work, internal electrical work, installation of deep tube well, lift, escalator, electrical sub-station, standby generator, etc.",CD-1/e-saltgola/1458/part-1/01,yes,495240760.339,495240760.339,2017-11-16,yes,2017-12-10,5,2,6,The Engineers & Architects Limited,co0062,"10 Toyenbee Circular Road, Motijheel C/A, Dhaka.",1,,2019-08-08,Saltgola,2017-08-10,yes,yes,award notice
Chittagong Development Authority,og0009,no,,,,204772,Own Fund,"Iron ores; Metal ores; Construction work; Site preparation work; Works for complete or part construction and civil engineering work; Building installation work; Building completion work; Hire of construction and civil engineering machinery and equipment with operator;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of cranes with operator;Hire of earthmoving equipment with operator",Chittagong,2025-06-19,Bangladesh,,Chattogram,Chattogram,2000,2000,no,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;price_band,1039,7,n.,1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,ExEn/OficeBuilding/E-126/262,A. H. M. Mesbah Uddin,Project Director,pp0024,2025-06-18,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1111428.pdf,2,2025-06-19,"Construction of Boundary Wall at CDA Office Building, Chattogram.",ExEn/OficeBuilding/E-126,Payment through Bank,031-624401,2025-06-15,2025-05-28,Works,NCT,"Project Director(M.Uddin), Chittagong Development Authority",,og0031,Not applicable,Not applicable,pr0093,2025-05-28,2025-06-19,2025-10-15,Own Fund,,,1111428,2025-09-17,Chattogram City Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Chittagong Development Authority,og0009,no,,,,204202,Own Fund,"Construction work; Site preparation work; Works for complete or part construction and civil engineering work; Building installation work; Building completion work; Hire of construction and civil engineering machinery and equipment with operator;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of cranes with operator;Hire of earthmoving equipment with operator",Chittagong,2025-06-19,Bangladesh,,Chattogram,Chattogram,2000,2000,no,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;price_band,1039,7,n.,1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,ExEn-1/E-1489/581,Mohammad Hasan,Executive Engineer,pp0008,2025-06-18,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1115432.pdf,2,2025-06-19,"Bricks Drain and Herring bond works at A Block Road, CDA Silimpur Residential Area Chattogram.",ExEn-1/E-1489/2025,Payment through Bank,880-189545106,2025-06-15,2025-05-29,Works,NCT,"Construction Division-1, Chattogram Development Authority",2001,og0021,Not applicable,Not applicable,pr0093,2025-05-29,2025-06-19,2025-10-15,Own Fund,,,1115432,2025-09-17,Kotowali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Chittagong Development Authority,og0009,no,,,,204772,Own Fund,"Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",Chittagong,2025-07-03,Bangladesh,,Chattogram,Chattogram,1000,1000,no,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;geographic;other;price_band,1080,7,n.,1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,ExEn/E-127/266,A. H. M. Mesbah Uddin,Project Director,pp0024,2025-07-02,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1123107.pdf,2,2025-07-03,"Maintenance work and other related works of Flat No- 11/7/A, 11/3/A, 11/2/B, 2/3, 9/1, 9/2, 8/2, 3/1, 3/5, 6/1, 7/9, 7/12 t Mehedibag CDA staff Quarter Chattogram.",ExEn/e-127,Payment through Bank,031-624401,2025-06-26,2025-06-19,Works,NCT,"Project Director(M.Uddin), Chittagong Development Authority",,og0031,Not applicable,Not applicable,pr0093,2025-06-19,2025-07-03,2025-10-29,Own Fund,,,1123107,2025-10-01,Chattogram City Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Chittagong Development Authority,og0009,no,,,,214163,Revenue,"Street-cleaning services; Cleaning and sanitation services in urban or rural areas, and related services;",Chattogram,2025-06-26,Bangladesh,,Chattogram,Chattogram,4000,4000,no,experience_count;experience_general;experience_similar;financial_credit;financial_liquid;financial_turnover;other;subcontract,1609,9,n.,1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,25.47.1500.046.14.302.25,Mohammed Mahafuzur Rahman,Executive Engineer,pp0125,2025-06-25,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1124277.pdf,2,2025-06-26,"Everyday Cleaning work of Elevated Expressway from WASA to Sea-Beach including all Ramps, Railing & other Ancillary Works.",EEW/01/2024-25,Payment through Bank,031-632113,2025-06-18,2025-06-04,Works,NCT,Project Director(Elevated ExpressWay),,og0087,Construction of Elevated Expressway from Lalkhan Bazar to Sha-Amanat Airport in Chattogram Town.,13201-01-224129200,pr0094,2025-06-04,2025-06-26,2025-10-22,Government,,,1124277,2025-09-24,Chattogram City Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Chittagong Development Authority,og0009,no,,,,204772,Own Fund,"Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork; Works for complete or part construction and civil engineering work; Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry; Gas distribution and related services; Public utilities; Gas distribution;",Chittagong,2025-07-21,Bangladesh,,Chattogram,Chattogram,1000,1000,no,cert_other;experience_similar;geographic;other;personnel;price_band,1086,6,n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,ExEn/Meh.Sta.Qtr/E-122/269,A. H. M. Mesbah Uddin,Project Director,pp0024,2025-07-20,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1128572.pdf,2,2025-07-21,"Installation of Gas pipe line connection works for installation of prepaid meter at CDA hill, CDA office, Mehedibag CDA staff Quarter Chattogram.",ExEn/Meh.Staff.Qtr/E122,Payment through Bank,031-624401,2025-07-16,2025-07-07,Works,NCT,"Project Director(M.Uddin), Chittagong Development Authority",,og0031,Not applicable,Not applicable,pr0093,2025-07-07,2025-07-21,2025-11-16,Own Fund,Contract Awarded,Contract Awarded,1128572,2025-10-19,Chattogram City Corporation,2025-07-07,Chittagong Development Authority,og0009,NA,Chattogram,Contract_Awards_PDFs/Tender_1128572.pdf,Works,ExEn/Meh.Sta.Qtr/E-122/269,OTM,Ministry of Housing and Public Works,og0001,A. H. M. Mesbah Uddin,Project Director,pp0024,"Installation of Gas pipe line connection works for installation of prepaid meter at CDA hill, CDA office, Mehedibag CDA staff Quarter Chattogram.",ExEn/Meh.Staff.Qtr/E122,1,"Project Director(M.Uddin), Chittagong Development Authority",,og0031,NA,pr0003,Own Fund Own Fund,supplier,0,yes,"Installation of Gas pipe line connection works for installation of prepaid meter at CDA hill, CDA office, Mehedibag CDA staff Quarter Chattogram.",ExEn/Meh.Sta.Qtr/E-122/276,yes,1875002.607,1875002.607,2025-07-30,yes,2025-08-04,3,1,3,M/S. Haroon & Brothers,co0068,16 north nalapara,1,,2025-10-28,Mehedibag Chattogram,2025-07-31,yes,yes,award notice
Chittagong Development Authority,og0009,no,,,,209470,Own Fund,"Locks, keys and hinges; Cutlery, tools, locks, keys and hinges; Office and computing machinery, equipment and supplies; Office machinery, equipment and supplies except computers; Word-processing machines; Photocopying and printing equipment; Post- office equipment; Calculating and accounting machines; Typewriters; Parts and accessories of typewriters and calculating machines; Various office equipment and supplies; Computer equipment and supplies;Data-processing machines;Digital cartography equipment;Computer hardware;Software;Computer systems;Servers",Chittagong,2025-07-17,Bangladesh,,Chattogram,Chattogram,1000,1000,no,cert_bin;cert_other;cert_tin;cert_trade_licence;cert_vat;equipment;experience_general;financial_credit;financial_liquid;financial_turnover,1244,2,(n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,MIS/PURCHASE/2024/26/PART-11/4,Md Mostafa Jamal,System Analyst,pp0069,2025-07-16,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1128704.pdf,2,2025-07-17,"Supply and Installation CC Camera, LED Display, Digital Door Lock, Hard Disk, etc. and related works.",MIS/PURCHASE/2024/26/PART-11/4,Payment through Bank,031-625562,2025-07-09,2025-07-02,Goods,NCT,Management Information System (MIS),,og0038,Not applicable,Not applicable,pr0093,2025-07-02,2025-07-17,2025-11-12,Own Fund,,,1128704,2025-10-15,Chattogram City Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Chittagong Development Authority,og0009,no,,,,209470,Own Fund,"Accumulators, primary cells and primary batteries; Electrical machinery, apparatus, equipment and consumables; Primary cells; Primary batteries; Electric accumulators;",Chittagong,2025-07-17,Bangladesh,,Chattogram,Chattogram,1000,1000,no,cert_bin;cert_other;cert_tin;cert_trade_licence;cert_vat;equipment;experience_general;financial_credit;financial_liquid;financial_turnover,1320,2,(n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,MIS/SERVER AND UPS,Md Mostafa Jamal,System Analyst,pp0069,2025-07-16,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1129166.pdf,2,2025-07-17,Supply and Installation of 64 Nos Battery and related works.,MIS/SERVER AND UPS PURCHASE/H.W. PURCHASE/2018/84,Payment through Bank,031-625562,2025-07-10,2025-07-02,Goods,NCT,Management Information System (MIS),,og0038,Not applicable,Not applicable,pr0093,2025-07-02,2025-07-17,2025-11-12,Own Fund,Rejected,Rejected PURCHASE/H.W. PURCHASE/2018/84,1129166,2025-10-15,Chattogram City Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
Chittagong Development Authority,og0009,no,,,,209470,Own Fund,Paper stationery and other items; Paper or paperboard articles;,Chittagong,2025-07-17,Bangladesh,,Chattogram,Chattogram,1000,1000,no,cert_bin;cert_other;cert_tin;cert_trade_licence;cert_vat;experience_general;financial_credit;financial_liquid;financial_turnover,1223,2,(n),1,yes,eligibility,yes,Lot wise,TENDER,Tender - Single Lot,MIS/TOLL MANAGEMENT/2025/3,Md Mostafa Jamal,System Analyst,pp0069,2025-07-16,1,Open Tendering Method (OTM),Ministry of Housing and Public Works,og0001,Tender Notice_PDFs/CDA_Tender_1129170.pdf,2,2025-07-17,"Supply of Thermal Paper Roll (PoS Printer) for Shaheed Wasim Akram Flyover Toll Operation, CDA.",MIS/TOLL MANAGEMENT/2025/3,Payment through Bank,031-625562,2025-07-09,2025-07-02,Goods,NCT,Management Information System (MIS),,og0038,Not applicable,Not applicable,pr0093,2025-07-02,2025-07-17,2025-11-12,Own Fund,,,1129170,2025-10-15,Chattogram City Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,tender notice status only
